time,Open,High,Low,Close,Volume,fast_ema,slow_ema,sma_40,macd,macd_signal,macd_histogram,macd_diff,macd_histogram_diff,bullish_side,bearish_side,below_sma_40,potential_sell_signal,macd_diff_positive,positive_count,potential_buy_signal_1,potential_buy_signal_2,potential_buy_signal
2012-01-01,4.58,4.84,4.58,4.84,10.0,4.84,4.84,,0.0,0.0,0.0,,,0,1,0,0,0,0,0,0,0
2012-01-08,4.84,6.9,4.84,6.9,357.39897511000004,5.156923076923077,4.992592592592592,,0.1643304843304847,0.03286609686609694,0.13146438746438777,0.1643304843304847,0.13146438746438777,1,0,0,0,1,0,0,1,1
2012-01-15,6.9,7.38,6.23,7.15,400.32531445,5.4635502958579885,5.1524005486968445,,0.31114974716114396,0.08852282692510635,0.2226269202360376,0.14681926283065927,0.09116253277164985,1,0,0,0,1,0,0,1,1
2012-01-22,7.15,7.15,5.52,6.83,731.18677615,5.673773327264452,5.2766671747193,,0.3971061525451516,0.1502394920491154,0.24686666049603617,0.08595640538400762,0.02423974025999856,1,0,0,0,1,0,0,1,1
2012-01-29,6.83,6.86,3.8,5.9,386.24403684,5.708577430762229,5.322839976591944,,0.38573745417028427,0.1973390844733492,0.18839836969693508,-0.011368698374867314,-0.0584682907991011,1,0,0,1,0,0,0,0,0
2012-02-05,5.9,6.5,3.8,5.7,665.17720104,5.707257826029578,5.3507777561036525,,0.35648006992592585,0.22916728156386454,0.1273127883620613,-0.02925738424435842,-0.06108558133487377,1,0,0,1,0,0,0,0,0
2012-02-12,5.7,6.15,5.2,5.55,577.35269754,5.68306431433272,5.365534959355234,,0.317529354977486,0.24683969624658886,0.07068965873089716,-0.038950714948439824,-0.05662312963116414,1,0,0,1,0,0,0,0,0
2012-02-19,5.55,5.8,4.14,4.38,1033.52997793,5.482592881358455,5.292532369773364,,0.19006051158509063,0.23548385931428922,-0.04542334772919859,-0.1274688433923954,-0.11611300646009576,1,0,0,1,0,0,0,0,0
2012-02-26,4.38,5.22,4.3,4.96,1651.14575012,5.402193976534077,5.267900342382744,,0.13429363415133277,0.21524581428169795,-0.08095218013036518,-0.055766877433757855,-0.03552883240116658,1,0,0,1,0,0,0,0,0
2012-03-04,4.96,5.1,4.6,4.81,1779.89657087,5.31108721091345,5.233981798502541,,0.07710541241090851,0.18761773390754008,-0.11051232149663157,-0.05718822174042426,-0.02956014136626639,1,0,0,1,0,0,0,0,0
2012-03-11,4.81,5.09,4.77,5.0,1931.0615274900001,5.263227640003688,5.216649813428279,,0.0465778265754091,0.15940975244111388,-0.11283192586570479,-0.030527585835499416,-0.0023196043690732193,1,0,0,1,0,0,0,0,0
2012-03-18,5.0,5.44,4.85,5.24,3287.5371756,5.259654156926198,5.218379456878036,,0.04127470004816125,0.13578274196252338,-0.09450804191436213,-0.005303126527247848,0.018323883951342657,1,0,0,1,0,0,0,1,1
2012-03-25,5.24,5.37,4.54,4.54,1733.85593128,5.148938132783706,5.168129126738922,,-0.01919099395521595,0.10478799477897552,-0.12397898873419147,-0.0604656940033772,-0.02947094681982934,0,1,0,0,0,0,0,0,0
2012-04-01,4.54,4.97,4.54,4.89,1591.67646541,5.109101496970828,5.147526969202706,,-0.038425472231877755,0.07614530137680486,-0.11457077360868262,-0.019234478276661804,0.00940821512550885,0,1,0,0,0,0,0,0,0
2012-04-08,4.89,5.04,4.69,4.76,2971.01334476,5.055393574359932,5.118821267780283,,-0.06342769342035126,0.048230702417373636,-0.1116583958377249,-0.025002221188473506,0.002912377770957722,0,1,0,0,0,0,0,0,0
2012-04-15,4.76,5.01,4.7,4.92,3358.63720165,5.034563793689173,5.104093766463225,,-0.06952997277405171,0.02467856737908857,-0.09420854015314029,-0.006102279353700446,0.01744985568458461,0,1,0,0,0,0,0,0,0
2012-04-22,4.92,5.43,4.92,5.18,3037.4970238,5.05693859466007,5.1097164504289125,,-0.05277785576884231,0.009187282749502396,-0.0619651385183447,0.0167521170052094,0.03224340163479558,0,1,0,0,1,0,0,0,0
2012-04-29,5.18,5.25,4.81,4.91,6313.53982394,5.03433265702006,5.09492263928603,,-0.06058998226597012,-0.004768170253592108,-0.055821812012378014,-0.007812126497127814,0.00614332650596669,0,1,0,0,0,0,0,0,0
2012-05-06,4.91,5.15,4.86,5.05,4835.89661952,5.0367430174785115,5.091595036375954,,-0.05485201889744218,-0.014784939982362123,-0.04006707891508006,0.005737963368527943,0.015754733097297954,0,1,0,0,1,0,0,0,0
2012-05-13,5.05,5.09,4.87,4.94,3853.55152787,5.021859476327971,5.080365774422179,,-0.058506298094208375,-0.023529211604731377,-0.034977086489477,-0.003654279196766197,0.005089992425603061,0,1,0,0,0,0,0,0,0
2012-05-20,4.94,5.08,4.88,5.08,3214.90350667,5.030804172277514,5.080338680020536,,-0.04953450774302226,-0.028730270832389555,-0.020804236910632705,0.008971790351186115,0.014172849578844293,0,1,0,0,1,0,0,0,0
2012-05-27,5.08,5.12,5.0,5.06,4065.4402816300003,5.035295838080973,5.078832111130126,,-0.04353627304915264,-0.03169147127574218,-0.011844801773410463,0.00599823469386962,0.008959435137222242,0,1,0,0,1,0,0,0,0
2012-06-03,5.06,5.24,4.95,5.19,4061.39594225,5.059096478376208,5.087066769564931,,-0.02797029118872274,-0.030947235258338292,0.0029769440696155516,0.0155659818604299,0.014821745843026014,0,1,0,0,1,0,0,0,0
2012-06-10,5.19,5.63,5.14,5.43,6423.19100929,5.116158558626022,5.11246923107864,,0.0036893275473826037,-0.024019922697194114,0.027709250244576718,0.031659618736105344,0.024732306174961166,1,0,0,0,1,0,0,1,1
2012-06-17,5.43,6.52,5.4,6.16,18408.01086083,5.276749549606635,5.190064102850592,,0.08668544675604295,-0.0018788488065467034,0.08856429556258966,0.08299611920866035,0.06085504531801294,1,0,0,0,1,0,0,1,1
2012-06-24,6.16,6.69,5.98,6.44,9154.20624483,5.45571115735946,5.282651947083881,,0.17305921027557858,0.033108763009878354,0.13995044726570022,0.08637376351953563,0.05138615170311056,1,0,0,0,1,0,0,1,1
