date,price,total_btc,market_cap,volume,median_conf_time,hash_rate,difficulty,miners_revenue,tx_fees,cost_per_tx,cost_per_tx_percent,n_transactions,n_unique_addresses,n_tx_ex_popular,output_volume,est_tx_volume,est_tx_volume_usd
2023-06-06 00:00:00,27251.93,19392687.5,528373163625.0,129818928.8638,10.416666666666668,331093463.8956832,51234338863443.0,24355694.08839815,58.00114518999999,67.79519250557587,0.8770964437486362,359254.0,588801.0,381211.0,819875.2366021198,117855.00084924996,3081878129.935029
2023-06-07 00:00:00,27243.64,19392687.5,528373163625.0,293987208.9856,13.5,343827827.89167106,51234338863443.0,24355694.08839815,58.00114518999999,67.79519250557587,0.8770964437486362,359254.0,588801.0,433522.0,1020736.891814562,117855.00084924996,3081878129.935029
2023-06-08 00:00:00,27243.64,19392687.5,528373163625.0,293987208.9856,13.5,343827827.89167106,51234338863443.0,24355694.08839815,58.00114518999999,67.79519250557587,0.8770964437486362,359254.0,682296.0,433522.0,1020736.891814562,117855.00084924996,3081878129.935029
2023-06-08 15:25:52,27243.64,19396362.5,516350566112.5,293987208.9856,13.5,343827827.89167106,51234338863443.0,24355694.08839815,58.00114518999999,67.79519250557587,0.8770964437486362,359254.0,682296.0,433522.0,1020736.891814562,117855.00084924996,3081878129.935029
2023-06-09 00:00:00,27243.64,19396362.5,516350566112.5,293987208.9856,13.5,343827827.89167106,51234338863443.0,30334803.515606057,73.25776494999997,77.90559715754074,0.8770964437486362,387084.0,682296.0,433522.0,1020736.891814562,117855.00084924996,3081878129.935029
2023-06-10 00:00:00,27243.64,19396362.5,516350566112.5,293987208.9856,13.5,343827827.89167106,51234338863443.0,30334803.515606057,73.25776494999997,77.90559715754074,1.1390933858066552,387084.0,682296.0,433522.0,1020736.891814562,89015.38224302001,2299022634.963496
2023-06-11 00:00:00,25852.82,19396362.5,516350566112.5,205826192.3172,7.65,415140266.2692028,51234338863443.0,30334803.515606057,73.25776494999997,77.90559715754074,1.1390933858066552,387084.0,682296.0,398970.0,1025490.6997306608,89015.38224302001,2299022634.963496
2023-06-12 00:00:00,25852.82,19396362.5,516350566112.5,205826192.3172,7.65,415140266.2692028,51234338863443.0,30334803.515606057,73.25776494999997,77.90559715754074,1.1390933858066552,387084.0,617352.0,398970.0,1025490.6997306608,89015.38224302001,2299022634.963496
2023-06-12 08:05:30,25852.82,19400031.25,501005807031.25,205826192.3172,7.65,415140266.2692028,51234338863443.0,30334803.515606057,73.25776494999997,77.90559715754074,1.1390933858066552,387084.0,617352.0,398970.0,1025490.6997306608,89015.38224302001,2299022634.963496
2023-06-13 00:00:00,25852.82,19400031.25,501005807031.25,205826192.3172,7.65,415140266.2692028,51234338863443.0,24857915.761624184,37.24601007,60.55772288163988,1.1390933858066552,410483.0,617352.0,398970.0,1025490.6997306608,89015.38224302001,2299022634.963496
2023-06-14 00:00:00,25852.82,19400031.25,501005807031.25,205826192.3172,7.65,415140266.2692028,51234338863443.0,24857915.761624184,37.24601007,60.55772288163988,0.6366972594710517,410483.0,617352.0,398970.0,1025490.6997306608,126989.85317369006,3287955132.691958
2023-06-15 00:00:00,25127.04,19400031.25,501005807031.25,185891852.0832,9.95,385148460.1631553,52350439455487.0,24857915.761624184,37.24601007,60.55772288163988,0.6366972594710517,410483.0,617352.0,422749.0,931644.1196554066,126989.85317369006,3287955132.691958
2023-06-16 00:00:00,25127.04,19400031.25,501005807031.25,185891852.0832,9.95,385148460.1631553,52350439455487.0,24857915.761624184,37.24601007,60.55772288163988,0.6366972594710517,410483.0,765014.0,422749.0,931644.1196554066,126989.85317369006,3287955132.691958
2023-06-16 08:50:56,25127.04,19403700.0,496269031200.0,185891852.0832,9.95,385148460.1631553,52350439455487.0,24857915.761624184,37.24601007,60.55772288163988,0.6366972594710517,410483.0,765014.0,422749.0,931644.1196554066,126989.85317369006,3287955132.691958
2023-06-17 00:00:00,25127.04,19403700.0,496269031200.0,185891852.0832,9.95,385148460.1631553,52350439455487.0,24576941.2933438,40.12883580000002,51.120062427785065,0.6366972594710517,475252.0,765014.0,422749.0,931644.1196554066,126989.85317369006,3287955132.691958
2023-06-18 00:00:00,25127.04,19403700.0,496269031200.0,185891852.0832,9.95,385148460.1631553,52350439455487.0,24576941.2933438,40.12883580000002,51.120062427785065,1.326058195598787,475252.0,765014.0,422749.0,931644.1196554066,73432.92108774999,1950479880.7942493
2023-06-19 00:00:00,26337.08,19403700.0,496269031200.0,63976191.14040001,9.858333333333334,369534333.3997841,52350439455487.0,24576941.2933438,40.12883580000002,51.120062427785065,1.326058195598787,475252.0,765014.0,415326.0,957852.9124955928,73432.92108774999,1950479880.7942493
2023-06-20 00:00:00,26337.08,19403700.0,496269031200.0,63976191.14040001,9.858333333333334,369534333.3997841,52350439455487.0,24576941.2933438,40.12883580000002,51.120062427785065,1.326058195598787,475252.0,746599.0,415326.0,957852.9124955928,73432.92108774999,1950479880.7942493
2023-06-20 11:22:42,26337.08,19407375.0,520098242625.0,63976191.14040001,9.858333333333334,369534333.3997841,52350439455487.0,24576941.2933438,40.12883580000002,51.120062427785065,1.326058195598787,475252.0,746599.0,415326.0,957852.9124955928,73432.92108774999,1950479880.7942493
2023-06-21 00:00:00,26337.08,19407375.0,520098242625.0,63976191.14040001,9.858333333333334,369534333.3997841,52350439455487.0,23415578.90437153,43.88821895000004,64.45600887571992,1.326058195598787,363280.0,746599.0,415326.0,957852.9124955928,73432.92108774999,1950479880.7942493
2023-06-22 00:00:00,26337.08,19407375.0,520098242625.0,63976191.14040001,9.858333333333334,369534333.3997841,52350439455487.0,23415578.90437153,43.88821895000004,64.45600887571992,0.6062352246939294,363280.0,746599.0,415326.0,957852.9124955928,148744.83389623996,4476871257.393661
2023-06-23 00:00:00,29903.73,19407375.0,520098242625.0,327010445.1912,11.883333333333333,325294307.5702325,52350439455487.0,23415578.90437153,43.88821895000004,64.45600887571992,0.6062352246939294,363280.0,746599.0,373704.0,1059356.207418044,148744.83389623996,4476871257.393661
2023-06-24 00:00:00,29903.73,19407375.0,520098242625.0,327010445.1912,11.883333333333333,325294307.5702325,52350439455487.0,23415578.90437153,43.88821895000004,64.45600887571992,0.6062352246939294,363280.0,683837.0,373704.0,1059356.207418044,148744.83389623996,4476871257.393661
2023-06-24 20:45:20,29903.73,19411043.75,594036171881.25,327010445.1912,11.883333333333333,325294307.5702325,52350439455487.0,23415578.90437153,43.88821895000004,64.45600887571992,0.6062352246939294,363280.0,683837.0,373704.0,1059356.207418044,148744.83389623996,4476871257.393661
2023-06-25 00:00:00,29903.73,19411043.75,594036171881.25,327010445.1912,11.883333333333333,325294307.5702325,52350439455487.0,30195817.85050738,29.38484288000001,78.88783535371824,0.6062352246939294,382769.0,683837.0,373704.0,1059356.207418044,148744.83389623996,4476871257.393661
2023-06-26 00:00:00,29903.73,19411043.75,594036171881.25,327010445.1912,11.883333333333333,325294307.5702325,52350439455487.0,30195817.85050738,29.38484288000001,78.88783535371824,0.825964803407096,382769.0,683837.0,373704.0,1059356.207418044,115973.72705839996,3515517320.6694574
2023-06-27 00:00:00,30266.7,19411043.75,594036171881.25,164194728.831,10.183333333333334,364329624.4786604,52350439455487.0,30195817.85050738,29.38484288000001,78.88783535371824,0.825964803407096,382769.0,683837.0,434604.0,989993.555701595,115973.72705839996,3515517320.6694574
2023-06-28 00:00:00,30266.7,19411043.75,594036171881.25,164194728.831,10.183333333333334,364329624.4786604,52350439455487.0,30195817.85050738,29.38484288000001,78.88783535371824,0.825964803407096,382769.0,627350.0,434604.0,989993.555701595,115973.72705839996,3515517320.6694574
2023-06-29 00:00:00,30266.7,19411043.75,594036171881.25,164194728.831,10.183333333333334,364329624.4786604,52350439455487.0,28907158.299600467,37.058475680000015,65.96900977332012,0.825964803407096,438193.0,627350.0,434604.0,989993.555701595,115973.72705839996,3515517320.6694574
2023-06-29 05:43:50,30266.7,19414712.5,587023247150.0,164194728.831,10.183333333333334,364329624.4786604,52350439455487.0,28907158.299600467,37.058475680000015,65.96900977332012,0.825964803407096,438193.0,627350.0,434604.0,989993.555701595,115973.72705839996,3515517320.6694574
